Generation,Sequence,Fitness,Score,World,Stage,X Position
17,23,3720.0,1100,1,1,722
17,24,3720.0,1100,1,1,722
17,25,3515.0,100,1,1,701
17,26,3720.0,1100,1,1,722
17,27,3620.0,100,1,1,722
17,28,3720.0,1100,1,1,722
17,29,2980.0,100,1,1,594
17,30,3715.0,1100,1,1,721
17,31,3620.0,100,1,1,722
17,32,3630.0,200,1,1,722
17,33,2970.0,0,1,1,594
17,34,3630.0,200,1,1,722
17,35,3630.0,200,1,1,722
17,36,1480.0,0,1,1,296
17,37,3620.0,100,1,1,722
17,38,3720.0,1100,1,1,722
17,39,3070.0,1000,1,1,594
17,40,1465.0,0,1,1,293
18,1,3720.0,1100,1,1,722
18,2,3720.0,1100,1,1,722
18,3,3630.0,200,1,1,722
18,4,3720.0,1100,1,1,722
18,5,3720.0,1100,1,1,722
18,6,3720.0,1100,1,1,722
18,7,3720.0,1100,1,1,722
18,8,3365.0,100,1,1,671
18,9,3620.0,100,1,1,722
18,10,3365.0,100,1,1,671
18,11,2970.0,0,1,1,594
18,12,3345.0,0,1,1,669
18,13,3630.0,200,1,1,722
18,14,3720.0,1100,1,1,722
18,15,3720.0,1100,1,1,722
18,16,3620.0,100,1,1,722
18,17,3630.0,200,1,1,722
18,18,3720.0,1100,1,1,722
18,19,3630.0,200,1,1,722
18,20,3630.0,200,1,1,722
18,21,3630.0,200,1,1,722
18,22,3720.0,1100,1,1,722
18,23,2980.0,100,1,1,594
18,24,3620.0,100,1,1,722
18,25,3525.0,0,1,1,705
18,26,3630.0,200,1,1,722
18,27,3620.0,100,1,1,722
18,28,3620.0,100,1,1,722
18,29,3720.0,1100,1,1,722
18,30,3720.0,1100,1,1,722
18,31,3720.0,1100,1,1,722
18,32,3630.0,200,1,1,722
18,33,3720.0,1100,1,1,722
18,34,3070.0,1000,1,1,594
18,35,3620.0,100,1,1,722
18,36,3620.0,100,1,1,722
18,37,3720.0,1100,1,1,722
18,38,3325.0,100,1,1,663
18,39,3720.0,1100,1,1,722
18,40,3720.0,1100,1,1,722
19,1,3710.0,1000,1,1,722
19,2,3620.0,100,1,1,722
19,3,3620.0,100,1,1,722
19,4,3720.0,1100,1,1,722
19,5,2970.0,0,1,1,594
19,6,3630.0,200,1,1,722
19,7,3640.0,200,1,1,722
19,8,3630.0,200,1,1,722
19,9,3720.0,1100,1,1,722
19,10,3720.0,1100,1,1,722
19,11,3710.0,1000,1,1,722
19,12,3630.0,200,1,1,722
19,13,3720.0,1100,1,1,722
19,14,3630.0,200,1,1,722
19,15,3720.0,1100,1,1,722
19,16,3630.0,200,1,1,722
19,17,3620.0,100,1,1,722
19,18,3070.0,1000,1,1,594
19,19,2980.0,100,1,1,594
19,20,2980.0,100,1,1,594
19,21,3720.0,1100,1,1,722
19,22,3720.0,1100,1,1,722
19,23,3630.0,200,1,1,722
19,24,3705.0,1000,1,1,721
19,25,2980.0,100,1,1,594
19,26,3720.0,1100,1,1,722
19,27,3630.0,200,1,1,722
19,28,1525.0,200,1,1,299
19,29,3720.0,1100,1,1,722
19,30,2970.0,0,1,1,594
19,31,3630.0,200,1,1,722
19,32,3720.0,1100,1,1,722
19,33,3650.0,300,1,1,722
19,34,2980.0,100,1,1,594
19,35,3630.0,200,1,1,722
19,36,3620.0,100,1,1,722
19,37,2980.0,100,1,1,594
19,38,3630.0,200,1,1,722
19,39,1485.0,0,1,1,297
19,40,2980.0,100,1,1,594
20,1,3720.0,1100,1,1,722
20,2,2980.0,100,1,1,594
20,3,3715.0,1100,1,1,721
20,4,3070.0,1000,1,1,594
20,5,3720.0,1100,1,1,722
20,6,3625.0,200,1,1,721
20,7,2980.0,100,1,1,594
20,8,3630.0,200,1,1,722
20,9,3630.0,200,1,1,722
20,10,3070.0,1000,1,1,594
20,11,3630.0,200,1,1,722
20,12,3630.0,200,1,1,722
20,13,3620.0,100,1,1,722
20,14,2980.0,100,1,1,594
20,15,3720.0,1100,1,1,722
20,16,3630.0,200,1,1,722
20,17,3640.0,200,1,1,722
20,18,3630.0,200,1,1,722
20,19,2970.0,0,1,1,594
20,20,3620.0,100,1,1,722
20,21,3710.0,1000,1,1,722
20,22,2980.0,100,1,1,594
20,23,2980.0,100,1,1,594
20,24,3720.0,1100,1,1,722
20,25,3715.0,1100,1,1,721
20,26,3070.0,1000,1,1,594
20,27,3720.0,1100,1,1,722
20,28,3720.0,1100,1,1,722
20,29,3630.0,200,1,1,722
20,30,3720.0,1100,1,1,722
20,31,3720.0,1100,1,1,722
20,32,3070.0,1000,1,1,594
20,33,3720.0,1100,1,1,722
20,34,3720.0,1100,1,1,722
20,35,3485.0,100,1,1,695
20,36,2980.0,100,1,1,594
20,37,3720.0,1100,1,1,722
20,38,3720.0,1100,1,1,722
20,39,2980.0,100,1,1,594
20,40,3070.0,1000,1,1,594
21,1,3615.0,100,1,1,721
21,2,1525.0,0,1,1,305
21,3,3720.0,1100,1,1,722
21,4,3450.0,0,1,1,690
21,5,3720.0,1100,1,1,722
21,6,3720.0,1100,1,1,722
21,7,3620.0,100,1,1,722
21,8,3525.0,0,1,1,705
21,9,3720.0,1100,1,1,722
