Generation,Sequence,Fitness,Score,World,Stage,X Position
15,4,3632.0,200,1,1,722
15,5,3002.0,200,1,1,594
15,6,3653.0,300,1,1,722
15,7,3653.0,300,1,1,722
15,8,2975.0,0,1,1,595
15,9,3653.0,300,1,1,722
15,10,3658.0,300,1,1,723
15,11,3653.0,300,1,1,722
15,12,3653.0,300,1,1,722
15,13,3642.0,200,1,1,722
15,14,3653.0,300,1,1,722
15,15,3653.0,300,1,1,722
15,16,3653.0,300,1,1,722
15,17,3002.0,200,1,1,594
15,18,200.0,0,1,1,40
15,19,3653.0,300,1,1,722
15,20,2970.0,0,1,1,594
15,21,3002.0,200,1,1,594
15,22,2981.0,100,1,1,594
15,23,3002.0,200,1,1,594
15,24,3653.0,300,1,1,722
15,25,3621.0,100,1,1,722
15,26,2970.0,0,1,1,594
15,27,3653.0,300,1,1,722
15,28,3653.0,300,1,1,722
15,29,3632.0,200,1,1,722
15,30,3653.0,300,1,1,722
15,31,3632.0,200,1,1,722
15,32,3621.0,100,1,1,722
15,33,3658.0,300,1,1,723
15,34,2981.0,100,1,1,594
15,35,3658.0,300,1,1,723
15,36,2970.0,0,1,1,594
15,37,3007.0,200,1,1,595
15,38,3002.0,200,1,1,594
15,39,3007.0,200,1,1,595
15,40,3653.0,300,1,1,722
16,1,3653.0,300,1,1,722
16,2,3007.0,200,1,1,595
16,3,200.0,0,1,1,40
16,4,3658.0,300,1,1,723
16,5,3653.0,300,1,1,722
16,6,232.0,200,1,1,40
16,7,232.0,200,1,1,40
16,8,200.0,0,1,1,40
16,9,3653.0,300,1,1,722
16,10,232.0,200,1,1,40
16,11,3002.0,200,1,1,594
16,12,3653.0,300,1,1,722
16,13,3610.0,0,1,1,722
16,14,200.0,0,1,1,40
16,15,2970.0,0,1,1,594
16,16,2970.0,0,1,1,594
16,17,3610.0,0,1,1,722
16,18,3653.0,300,1,1,722
16,19,200.0,0,1,1,40
16,20,3653.0,300,1,1,722
16,21,3653.0,300,1,1,722
16,22,2981.0,100,1,1,594
16,23,3002.0,200,1,1,594
16,24,3653.0,300,1,1,722
16,25,3653.0,300,1,1,722
16,26,3653.0,300,1,1,722
16,27,3653.0,300,1,1,722
16,28,3658.0,300,1,1,723
16,29,232.0,200,1,1,40
16,30,3653.0,300,1,1,722
16,31,3637.0,200,1,1,723
16,32,200.0,0,1,1,40
16,33,3653.0,300,1,1,722
16,34,3653.0,300,1,1,722
16,35,3642.0,200,1,1,722
16,36,3653.0,300,1,1,722
16,37,3653.0,300,1,1,722
16,38,3653.0,300,1,1,722
16,39,3637.0,200,1,1,723
16,40,200.0,0,1,1,40
17,1,3002.0,200,1,1,594
17,2,232.0,200,1,1,40
17,3,232.0,200,1,1,40
17,4,3658.0,300,1,1,723
17,5,3653.0,300,1,1,722
17,6,3621.0,100,1,1,722
17,7,2981.0,100,1,1,594
17,8,3658.0,300,1,1,723
17,9,3658.0,300,1,1,723
17,10,3653.0,300,1,1,722
17,11,3658.0,300,1,1,723
17,12,3653.0,300,1,1,722
17,13,3653.0,300,1,1,722
17,14,3653.0,300,1,1,722
17,15,2981.0,100,1,1,594
17,16,3658.0,300,1,1,723
17,17,232.0,200,1,1,40
17,18,3002.0,200,1,1,594
17,19,3653.0,300,1,1,722
17,20,3658.0,300,1,1,723
17,21,3653.0,300,1,1,722
17,22,211.0,100,1,1,40
17,23,3658.0,300,1,1,723
17,24,3615.0,0,1,1,723
17,25,200.0,0,1,1,40
17,26,3621.0,100,1,1,722
17,27,200.0,0,1,1,40
17,28,3653.0,300,1,1,722
17,29,3642.0,200,1,1,722
17,30,3658.0,300,1,1,723
